player,season,masters_date,n_prior_events,sg_total_weighted,sg_app_weighted,sg_putt_weighted,sg_arg_weighted,sg_ott_weighted,sg_t2g_weighted,top10_rate,cut_rate,augusta_fit,masters_appearances,masters_avg_finish,masters_best_finish,masters_wins,recent_form_bonus,l6_sg_total_avg,l6_sg_app_avg,l6_sg_putt_avg,l6_top10_rate,l6_cut_rate,l6_avg_finish,finish_position,made_cut,top32,top16,top10,top5,won
stewart cink,2022,2022-04-10,12,-0.9515659132073132,-0.36135374752246785,0.08093590123170852,-0.6717822707840293,-0.2749476325229786,-1.3067529302561536,0.08333333333333333,0.5833333333333334,-0.29997734946369475,2,47.5,12.0,0,0,-0.7600000000000001,-0.555,0.3466666666666667,0.16666666666666666,0.6666666666666666,54.333333333333336,85.0,0,0,0,0,0,0
sergio garcia,2022,2022-04-10,12,0.6801868989458562,-0.27466920432760217,0.3103753965127322,-0.09817584265657234,0.7418436391319503,0.3709250758727167,0.16666666666666666,0.8333333333333334,0.20409474597856206,6,50.5,1.0,1,0,0.624,-0.39,0.346,0.16666666666666666,0.8333333333333334,35.833333333333336,23.0,1,1,0,0,0,0
sungjae im,2022,2022-04-10,12,0.8220568203804516,-0.052360982309669464,0.26221212392097365,0.33795089144963125,0.5063533961070061,0.789562475896104,0.3333333333333333,0.8333333333333334,0.2718065093921024,2,45.0,2.0,0,0,1.0199999999999998,0.04999999999999996,0.36166666666666675,0.16666666666666666,0.8333333333333334,34.166666666666664,8.0,1,1,1,1,0,0
si woo kim,2022,2022-04-10,12,-0.08865382523739687,-0.34295483838437213,-0.18875401780233592,0.12218508866655384,0.31724626737294254,0.09288097964032115,0.0,0.9166666666666666,-0.1806269825316985,5,34.6,12.0,0,0,0.10499999999999998,-0.23500000000000001,-0.3516666666666666,0.0,0.8333333333333334,38.166666666666664,39.0,1,0,0,0,0,0
shane lowry,2022,2022-04-10,12,1.3180517946743542,0.7530561181216928,0.26909440235539506,0.11598014666659658,0.1861009793688358,1.0517699799308848,0.16666666666666666,0.8333333333333334,0.6282551500568997,6,55.0,21.0,0,0,1.324,0.504,0.45599999999999996,0.16666666666666666,0.6666666666666666,40.166666666666664,3.0,1,1,1,1,1,0
seamus power,2022,2022-04-10,12,0.2701718320676606,-0.32549410030912634,0.3562992228521461,-0.2018703248669441,0.20011658222515696,-0.32813298412183234,0.25,0.6666666666666666,0.07851643059386883,0,,,0,0,0.2599999999999999,-0.36166666666666664,0.425,0.16666666666666666,0.5,49.333333333333336,27.0,1,1,0,0,0,0
scottie scheffler,2022,2022-04-10,12,1.495556159070673,0.5208015013145697,0.6054124951544297,0.31593926426178437,0.16757166171802693,1.0022922881926095,0.5,0.9166666666666666,0.6966854514304882,2,18.5,18.0,0,0,1.8683333333333334,0.805,0.6616666666666667,0.5,1.0,18.166666666666668,1.0,1,1,1,1,1,1
sepp straka,2022,2022-04-10,12,0.6959394725628287,-0.18956983929836785,0.7132428598149212,-0.031536055883797286,0.2586992423509348,0.037967809926058645,0.16666666666666666,0.75,0.34047911541298237,0,,,0,0,0.83,-0.20333333333333337,0.725,0.3333333333333333,0.8333333333333334,31.166666666666668,30.0,1,1,0,0,0,0
tony finau,2022,2022-04-10,12,-0.2588733951871368,0.4947744819001476,-0.6114302603733418,-0.4200391169451538,0.17815988485617537,0.25674661822234046,0.08333333333333333,0.6666666666666666,-0.07329181994644318,4,15.75,5.0,0,0,-0.2666666666666666,0.6183333333333333,-0.5483333333333333,0.0,0.5,57.0,35.0,1,0,0,0,0,0
tommy fleetwood,2022,2022-04-10,12,0.6734874093399986,-0.21341053732690093,0.31763823210376624,0.45586582402774767,0.11576554018257586,0.35668966123535994,0.08333333333333333,0.8333333333333334,0.17087737617909401,5,40.0,17.0,0,0,0.9460000000000001,-0.38400000000000006,0.52,0.16666666666666666,0.8333333333333334,30.5,14.0,1,1,1,0,0,0
talor gooch,2022,2022-04-10,12,0.3710215472628865,0.3254628383540034,0.09306217767397182,0.14862785277169058,-0.5851275821846403,-0.10821626589516112,0.25,0.8333333333333334,0.16645596149573028,0,,,0,0,0.18500000000000005,0.31166666666666665,-0.20166666666666674,0.16666666666666666,0.6666666666666666,48.833333333333336,14.0,1,1,1,0,0,0
tyrrell hatton,2022,2022-04-10,12,1.0617726294433951,0.17314098803218658,0.7296793888569145,0.2885808076431438,-0.13045123328421943,0.333112275781508,0.25,0.6666666666666666,0.5094886848326342,5,58.6,18.0,0,0,1.3975,0.0,1.145,0.3333333333333333,0.8333333333333334,27.5,52.0,1,0,0,0,0,0
tom hoge,2022,2022-04-10,12,1.0402853732550839,0.6263503005683314,-0.07825464458722213,0.10623400622712313,0.4719408962104298,1.20234302829049,0.25,0.75,0.43135402424045766,0,,,0,0,0.9899999999999999,0.6033333333333334,0.18499999999999997,0.16666666666666666,0.6666666666666666,40.0,39.0,1,0,0,0,0,0
takumi kanaya,2022,2022-04-10,12,-1.3689475353684244,-1.3095154403448919,0.11047084639421036,-0.0784794257250554,-0.09588414210240358,-1.4794183817626347,0.08333333333333333,0.16666666666666666,-0.6936325080583616,1,58.0,58.0,0,0,-1.0533333333333335,-1.2566666666666666,0.5533333333333333,0.25,0.25,61.75,85.0,0,0,0,0,0,0
thomas pieters,2022,2022-04-10,12,-1.0164577033183897,-0.5359102219910168,-0.9206586629459274,0.20955308054455865,0.22437843404852997,-0.0972094697081403,0.0,0.5833333333333334,-0.6940738647578205,2,42.0,4.0,0,0,-0.9333333333333332,-0.9566666666666667,-0.7100000000000001,0.0,0.3333333333333333,64.0,85.0,0,0,0,0,0,0
